language, code
albanian.html, alb
armenian.html, arm
Belarusan.html, bel
bulgarian.html, bul
carpatho-russan.html, sla
croatian.html, hrv
czech.html, cze
estonian.html, est
greek.html, gre
hungarian.html, hun
italian.html, ita
italian2.html, ita
jewish.html, eng
latvian.html, lav
finnish.html, fin
general-multi-ethnic.html, eng
lithuanian.html, lit
macedonian.html, mac
near_east.html, ara
polish.html, pol
romanian.html, rum
russian.html, rus
serbian.html, -scc
slovak.html, slo
slovene.html, slv
ukrainian.html, ukr
yugoslav.html, sla
