Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
The Armenian Mirror-Spectator|Watertown, MA|1960-1961, 1963||arm|eng,arm,|P||N||||
The Armenian Reporter|Flushing, NY|1967-1968, 1970-1980||arm|eng,arm,|P||N||||
Armenian Weekly|Boston, MA|1970-1976, 1978-1981||arm|eng,arm,|P||N||||
Asbarez |Glendale, CA|1983||arm|eng,|P||N|||Arena|
Asbarez |Glendale, CA|1983||arm|eng,|P||N|||Arena; English edition|
Baikar |Watertown, MA|1956, 1961, 1963, 1965-1967, 1969||arm|eng|P||N|||Struggle|
Hairenik |Boston, MA|1963-1965, 1969, 1971-1976||arm|eng|P||N|||Fatherland|
Lraper |Los Angeles, CA (previously published in New York, NY)|1965||arm|eng,arm,|P||N|||The Armenian Herald|
Massis Weekly|Pasadena, CA|1983-1987||arm||P||N||||
Nor Ashkar |New York, NY|1964-1966, 1968-1969, 1971-1972||arm|eng,|P||N|||The New World|
Nor Or |Los Angeles, CA|1972||arm|eng|P||N|||New Day|
Serials||||arm||P||N||||
 ||||arm||P||N||||
