Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Amerikánsky Russky Viestnik |Homestead, PA|1943; microfilm: 1894-1896,  1901-1904, 1906-1952||sla|eng,gre,|M||N|||American Russian Messenger; succeeded by Greek Catholic Union  Messenger|
The Byzantine Catholic World|Pittsburgh, PA|1957, 1959-1962, 1965; microfilm: 1956-1974||sla|eng,|M||N||||
The Carpatho-Russian American|Yonkers, NY|1968-1969; microfilm: 1968-1969||sla|eng,|M||N||||
Cerkovnaja Nauka |Johnstown, PA|1903, 1951-1952, 1954-1955, 1967, 1969, 1982-1984); microfilm: 1903, 1951-1952, 1954-1955, 1967, 1969, 1982-1984||sla|eng|M||N|||Church Advisor|
Cerkovnyj Vistnik |McKees Rocks and Pittsburgh, PA; Pemberton, NJ|1982-1984; microfilm: 1946-1975||sla|eng,|M||N|||Church Messenger|
Den |New York, NY|1923-1926); microfilm: 1923-1926||sla|eng|M||N|||The Day|
Eastern Catholic Life|Passaic, NJ|1975-; microfilm: 1965-1974||sla|eng,|M||N||||
The Eastern Observer|Homestead, PA|1942-1943); microfilm: 1942-1943||sla|eng,|M||N||||
Golos Naroda |New York, NY|1919||sla|eng|P||N|||Voice of the People|
Golos Pravdy |New York, NY|1938-1945); microfilm: 1938-1945||sla|eng,|M||N|||The Voice of Truth|
Greek Catholic Union Messenger |Homestead, PA|1972, 1975-; microfilm: 1953-1975||sla|eng,gre,|M||N|||continuation of Amerikansky Russky Viestnik|
Karpato-Russkoe Slovo |New York, NY|1935; microfilm: 1935-1938||sla|eng|M||N|||Carpatho-Russian Word|
Karpatska' Rus |Yonkers, NY|1939, 1952, 1955, 1960-1962, 1965-1971, 1974-1978||sla|eng|P||N|||Carpathian Rus'|
Karpats'ka Zoria |New York, NY|1952; microfilm: 1951-1952||sla|eng|M||N|||Carpathian Star|
Lemko-Karpatska Rus' |Yonkers, NY|1928-1969); microfilm: 1928-1969||sla|eng|M||N|||Lemko-Carpathian Rus'|
