Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Americki Hrvatski Glasnik |Chicago, IL|1955-1956||hrv|hrv,eng|P||N|||American Croatian Herald|
Chicago|Chicago, IL|1893-1894); microfilm: 1893-1894||hrv||M||N||||
The Croatian Times|Omaha, NE|1977-1978||hrv|eng,hrv,|P||N||||
Danica |Chicago, IL|1947, 1953-1965, 1968-1973||hrv|eng|P||N|||The Morning Star|
Domovina |New York, NY|1916-1917); microfilm: 1916-1917||hrv|eng|M||N|||Homeland|
Hrvatska Drzava |Munich, West Germany|1962-1965, 1967-1968, 1970-1977||hrv|hrv,ger,eng|P||N|||The Croatian State|
Hrvatska Vila |Trinidad, CO|1912||hrv|hrv,eng|P||N|||The Croatian Fairy|
Hrvatska Zastava |Chicago, IL|1905-1917); microfilm: 1905-1917||hrv|hrv,eng|M||N|||Croatian Flag|
Hrvatski Glas |Ontario, Canada), Nanaimo, British Columbia, Canada (previously published in Sudbury and Hamilton, Ontario, Canada)|1979||hrv|eng,hrv,|P||N|||Croatian Voice; merged with Hrvatski Glas of Acton|
Hrvatski Glas |Ontario, Canada), Acton, Ontario, Canada (previously published in Winnipeg, Manitoba, Canada)|1939, 1940, 1954, 1959-1980||hrv|eng,hrv,|P||N|||Croatian Voice; merged with Hrvatski Glas of Sudbury|
Hrvatski Glas |Vancouver, British Columbia, Canada|1981||hrv|eng,hrv,|P||N|||Croatian Voice; Croatian Peasant Party|
Hrvatski Glasnik |Allegheny, PA|1908-1919); microfilm: 1908-1919||hrv|hrv,eng|M||N|||Croatian Herald|
Hrvatski List and Danica Hrvatska |New York, NY|1922-1928, 1930-1941); microfilm: 1922-1928, 1930-1941||hrv|hrv,eng|M||N|||The Croatian Gazette and the Croatian Morning Star|
Hrvatski Svijet |New York, NY|1939, 1941, 1942, 1945, 1955, 1956||hrv|hrv,eng|P||N|||Croatian World|
Hrvatski Svijet |New York, NY|1914); microfilm: 1914||hrv|hrv,eng|M||N|||Croatian World|
Hrvatski Tjednik Danica |Chicago, IL|1977-1985||hrv|hrv,eng|P||N|||The Croatian Weekly Morning Star|
Jadran |San Francisco, CA|1908-1910, 1915); microfilm: 1908-1910, 1915||hrv|eng|M||N|||The Adriatic|
Jugoslovenska Zastava |Chicago, IL; New York, NY; St|1919); microfilm: 1919||hrv|eng,|M||N|||Yugoslav Flag|
