Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Eesti Rada |Augsburg, West Germany|1949-1950||est|ger,est,eng|P||N|||Estonian Trail|
Meie Elu |Toronto, Ontario, Canada|1965-date||est|eng|P||N|||Our Life|
Pildipost |Geislingen, Germany|1949||est|ger,eng|P||N|||Illustrated Post|
Uus Ilm |Monroe, NY|1912, 1919-1921, 1923-1927, 1930||est|eng|P||N|||The New World|
Vaba Eesti Sõna |New York, NY|1949-date||est|est,eng|P||N|||Free Estonian Word|
Vaba Eestlane |Toronto, Ontario, Canada|1952-1955, 1973-1974||est|est,eng|P||N|||Free Estonian|
Vabadusvõitlus |New York, NY|||est|eng|P||N|||The Struggle for Freedom|
Aja Kaja |Albany, NY|1965-1970||est|est,eng|P||N|||The Echo of Time|
B.E.O. Bülletään |Baltimore, MD|1973-1978, 1990-2010||est|est,eng|P||N|||Baltimore Eesti Organisatsioonide|
Eesti Elu Tahtraamat |Toronto, ON, Canada|2002-2006, 2008-2010||est|est,eng|P||N|||Estonian Life Almanac; previously titled Meie Elu Tahtraamat|
Eesti Ev. Luteri Usu Kiriku Teated |New York, NY|1950||est|est,eng|P||N|||Estonian Evangelical Lutheran Church Newsletter|
Eesti Kalendar |Detmold, Germany|1949||est|ger,est,eng|P||N|||Estonian Almanac|
Eesti Kirik |Stockholm, Sweden|1954-1959, 1970, 1974||est|est,eng|P||N|||The Estonian Church|
Eesti Kirik Vabaduses |Toronto, ON, Canada|1958||est|est,eng|P||N|||Yearbook of the Estonian Evangelical Lutheran Church|
Eesti Male |Ozone Park, NY|1974-1975||est|est,eng|P||N|||Estonian Chess|
Eesti Seinakalendar |New York, NY|1960, 1963||est|est,eng|P||N|||Estonian Wall-Calendar|
Eestlase Tahraamat |Geislingen, Germany|1947||est|ger,est,eng|P||N|||Estonian Letter-Book|
Estonian League of the West Coast Bulletin|Vancouver, BC, Canada|1976-1977||est|est,|P||N||||
Kauge Kodu|Augsburg, Germany|1947||est|ger,est,|P||N||||
Kirikuleht: Estonian Evangelical Lutheran Church News|Geislingen, Germany|Estonian Evangelical Lutheran Church News, Geislingen, Germany||est|ger,est,|P||N||||
Kodukolle |Toronto, ON, Canada|1952-1954||est|est,eng|P||N|||Hearth of Home|
Kultuuriside: Eesti Kultuurfondi Teataja |Brooklyn, NY|Eesti Kultuurfondi Teataja (The Estonian Cultural Fund Newsletter), Brooklyn, NY||est|est,eng|P||N|||The Estonian Cultural Fund Newsletter|
Los Angelese Eesti Seltsi Teataja |Los Angeles, CA|1968||est|est,eng|P||N|||Los Angeles's Estonian Association Newsletter|
Meie Elu Tahtraamat |Toronto, ON, Canada|1962-1991, 1993-2001||est|est,eng|P||N|||Our Life Almanac|
Meie Tee |New York, NY|1935-1937, 1941-1942, 1944-1946, 1948-1979||est|est,eng|P||N|||Our Path|
Minnesota Postimees |Minneapolis, MN|1952-1954, 1957-2010||est|est,eng|P||N|||Minnesota Courier|
Mötteid |Chicago, IL|1965-1966||est|est,eng|P||N|||Thoughts|
New Yorgi Eesti Ev. Luteriusu Kirik |New York, NY|1952-1954||est|est,eng|P||N|||Estonian Evangelical Lutheran Church of New York|
Noorte Sõna |New York, NY|1957-1971||est|est,eng|P||N|||Word of Youth|
N.Y. Eesti Filatelistide Selts Bülletään |New York, NY|1971-1973, 1976, 1978-1980||est|eng,est,|P||N|||New York Estonian Philatelist Society Bulletin|
Oma Kirik |Brooklyn, NY|1968, 1972||est|est,eng|P||N|||Our Church|
Põhja-Ameerika IV Eesti Päevade Teataja |New York, NY|1968||est|est,eng|P||N|||North America IV Estonian Days Journal|
Põhjamaa Tähistel |Augsburg, Germany|1946-1948||est|ger,est,eng|P||N|||Nordic Letters|
Rahvuslane |Islington, ON, Canada|1967-1968, 1971||est|est,eng|P||N|||The Nationalist|
Triinu|Toronto, ON, Canada|1955-1995||est|est,|P||N||||
Tulimuld: Eesti Kirjanduse ja Kultuuri Ajakiri |Lund, Sweden|Eesti Kirjanduse ja Kultuuri Ajakiri (Fire and Earth: The Magazine of Estonian Literature and Culture), Lund, Sweden||est|est,eng|P||N|||Fire and Earth: The Magazine of Estonian Literature and Culture|
Ühispanga Uudised |Toronto, ON, Canada|1957-1966, 1969, 1977||est|est,eng|P||N|||The Co-op Bank News|
Usk Ja Elu |Toronto, ON, Canada|1968-1977, 1979-1982||est|est,eng|P||N|||Faith and Life|
Usu Sõna |Chicago, IL|1950-1954||est|est,eng|P||N|||Word of Faith|
Uus Ilm |Monroe, NY|1984||est|est,eng|P||N|||The New World|
Vaba Eestlase Tähtraamat |Toronto, ON, Canada|1966, 1968, 1970-1972, 1974||est|est,eng|P||N|||The Free Estonian’s Almanac|
Väliseestlase Kalender |New York, NY|1950-1979, 1982||est|est,eng|P||N|||Calendar for Estonians Abroad|
Viiking |New York, NY|1961, 1966||est|est,eng|P||N|||Viking|
Viimasel Minutil |Lakewood, NJ|||est|est,eng|P||N|||At The Last Minute|
Võitlev Eesti |New York, NY|1952-1954, 1956||est|est,eng|P||N|||Fighting Estonia|
