Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Amerikan Sanomat |Ashtabula, OH|1898, 1912||fin|eng|P||N|||American Tidings|
Amerikan Sanomat |Calumet, MI|1959-1960||fin|eng|P||N|||American Tidings|
Amerikan Suomalainen |Calumet, Red Jacket, and Hancock, MI; Chicago, IL|1897-1898; microfilm: 1879-1894||fin|eng|M||N|||Finnish American; previously titled American Suomalainen Lehti|
Amerikan Suometar |Hancock, MI|1904, 1906-1907, 1909-1911, 1916, 1925, 1932, 1935-1936, 1938-1941, 1944-1947, 1949-1962||fin|eng|P||N|||The American Finn|
Amerikan Uutiset |Calumet, MI|1901-1903, 1905-1906||fin|eng|P||N|||The American News|
Amerikan Uutiset |Lantana, FL (previously published in New York Mills, MN)|1946-1947, 1949, 1951, 1953-1954, 1956-1986; microfilm: 1933, 1935-1973||fin|eng|M||N|||The American News; previously titled Minnesotan Uutiset|
Auttaja |Ironwood, MI|1918, 1926, 1931, 1947-1948, 1950-1951, 1953-1964||fin|eng|P||N|||The Helper|
Canadan Uutiset |Thunder Bay, Ontario, Canada|1952, 1974-date; microfilm: 1931-1975||fin|eng|M||N|||The Canadian News|
Cooperative Builder|Superior, WI|1931-1934, 1936-1943, 1945-1946, 1953, 1957, 1960-1961, 1965, 1972-1982||fin|eng,|P||N||||
Copper Country News|Calumet, MI|1959||fin|eng,|P||N||||
Eteenpäin |New York, NY (previously published in Worchester, MA)|1925, 1932; microfilm: 1922-1929, 1931-1932, 1934-1935, 1938, 1946, 1948, 1950||fin|eng|M||N|||Forward; superseded by Työmies-Eteenpäin after 1950|
Finlandia|Brooklyn, NY|1940||fin||P||N||||
Finnish American Weekly|Duluth, MN|1937||fin|eng,|P||N||||
Fitchburgin Sanomat |Fitchburg, MA|1937||fin|eng|P||N|||The Fitchburg Tidings|
Industrialisti |Duluth, MN|1918-1919, 1926-1929, 1931-1940, 1942, 1950-1973, 1975||fin|eng|P||N|||Industrialist|
Isien Usko |Thunder Bay, Ontario, Canada|1953-1957, 1959-1962, 1965-1977||fin|eng|P||N|||Faith of Our Fathers|
Keskilännen Sanomat |Duluth, MN|1949-1956||fin|eng|P||N|||The Midwestern Tidings|
Keskusosuuskunnan Tiedonantaja |Superior, WI|1929||fin|eng|P||N|||The Central Cooperative Exchange Messenger|
Lännen Suometar |Astoria, OR|1939-1942||fin|eng|P||N|||The Western Finn|
Lännetär |Astoria, OR|1900-1901||fin|eng|P||N|||The Westerner|
Leading Star|Seattle, WA|1969, 1976||fin|eng,swe,|P||N||||
Loimaan Lehti |Loimaa, Finland|1934); microfilm: 1934||fin|eng|M||N|||Loimaa News|
Naisten Viiri |Superior, WI|1952-1978||fin|eng|P||N|||Women's Banner|
New Yorkin Lehti |New York, NY|1891-1893); microfilm: 1891-1893||fin|eng|M||N|||New York News|
New Yorkin Uutiset |Brooklyn, NY|1951-1954, 1957-1961, 1965, 1969, 1973-1986; microfilm: 1912-1915, 1917-1919||fin|eng|M||N|||Finnish New York News|
Norden|Brooklyn, NY|1935-1937, 1939, 1941-1948, 1950-1957, 1959, 1962-1964, 1966-1970, 1974-date||fin|eng,swe,|P||N||||
Opas |Calumet, MI|1934, 1945-1947, 1953-1957||fin|eng,|P||N|||The Guide|
Päivälehti |Duluth, MN-Calumet, MI|1903-1904, 1906, 1930, 1935-1943, 1945-1948; microfilm: 1908-1948||fin|eng|M||N|||The Daily Journal|
Pohjan Tähti |Fitchburg, MA|1916, 1918, 1925||fin|eng|P||N|||The North Star|
Pohjolan Sanomat |Calumet, MI|1957-1959||fin|eng|P||N|||Northland News|
Raivaaja |Fitchburg, MA|1948, 1950, 1952, 1955-1957, 1960, 1965, 1970-1971 (occasional), 1972-2008; microfilm: 1905-1965||fin|eng|M||N|||The Pioneer|
Sankarin Maine |Houghton and Hancock, MI|1878-1881); microfilm: 1878-1881||fin|eng|M||N|||The Hero's Fame; previously titled Swen Tuuwa|
Siirtolainen |Duluth, MN (previously published in Brooklyn, NY, and Kaleva, MI)|1917-1925); microfilm: 1917-1925||fin|eng|M||N|||The Emigrant; previously titled Lännetar; superseded by Finnish-Am Weekly|
