Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Chicago Record|Chicago, IL|1977||eng|eng,spa,ukr,|P||N||||
The Dawn|Miami, FL|1979-date||eng|eng,|P||N||||
Ethnic America|Pittsburgh, PA|1973-1974||eng|eng,|P||N||||
Ethnic American News|Pittsburgh, PA|1976-1977||eng|eng,|P||N||||
Heritage Review|New Jersey|1971-1972||eng|eng,|P||N||||
Justice|Jersey City, NJ|1919, 1924-1958||eng|eng,|P||N||||
Michigan Slav|Detroit, MI|1942-1943||eng|eng,|P||N||||
Miners' Bulletin|Hancock, MI|1913-1914||eng|eng,|P||N||||
Minnesota Labor |Minneapolis, MN (previously published in Duluth, MN)|1937, 1939-1941, 1943-1944, 1946-1947||eng|eng,|P||N|||previously titled Timber Worker; Midwest Labor|
The Minnesota Leader|St|1938-1942||eng|eng,|P||N||||
National Co-operative News|Chicago, IL|1919-1920||eng|eng,|P||N||||
Northwest Ethnic News|Seattle, WA|1984-1986||eng|eng,|P||N||||
The Orthodox Church|Syosset, NY|1970, 1974, 1976-1986||eng|eng,|P||N||||
Our Sunday Visitor|Marquette, MI|1953||eng|eng,|P||N||||
Pick & Axe|Bessemer, MI|1976-1977||eng|eng,|P||N||||
Richardson Family Researcher and Historical News|Broken Bow, NE|1980||eng|eng,|P||N||||
Saxon News Volksblatt|Cleveland, OH|1954-1980); microfilm: 1954-1980||eng||M||N||||
The Wanderer|St|1962||eng|eng,|P||N||||
AAASS Newsletter |Columbus, OH|1975-1978||eng|eng,|P||N|||American Association for the Advancement of Slavic Studies|
ACEN News |New York, NY|1955-1956, 1960, 1962, 1965-1971||eng|eng,|P||N|||Assembly of Captive European Nations|
ACNS Newsletter |New York, NY|1982||eng|eng,|P||N|||American Council for Nationalities Service|
