Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Abruzzo-Molise|Rochester, NY (previously published in Pueblo, CO)|1926; microfilm: 1918-1923, 1926||ita||M||N||||
L'Adunata dei Refrattari |New York, NY|1922-1971||ita|eng|P||N|||Gathering of the Recalcitrants|
L'Agenda |Brooklyn, NY|1971-1980, 1985||ita|eng,ita,|P||N|||The Agenda; previously titled The National Italian American News|
Alba Nuova |New York, NY|1921, 1922||ita|eng|P||N|||The New Dawn|
Albania|New York, NY|1936, 1938-1939||ita||P||N||||
America|St|1942-1943||ita|eng,|P||N||||
The American Citizen |Des Moines, IA|1923-1924, 1926-1972||ita|eng,|P||N|||previously titled Il Risveglio|
The American Citizen|Memphis, TN|1934||ita|eng,|P||N||||
The American Citizen|Omaha, NE|1937, 1952, 1975, 1977-date||ita||P||N||||
L'Araldo |Cleveland, OH|1948||ita|eng|P||N|||The Herald|
L'Araldo Italiano |New York, NY|1912-1914||ita|ita,eng|P||N|||The Italian Herald|
L'Ascesa del Proletariato |Scranton, PA (previously published in Wilkes-Barre, PA)|1908-1910; microfilm: 1908-1910||ita|eng|M||N|||The Rise of the Proletariat|
L'Asino |New York, NY|1908-1910||ita|eng|P||N|||The Donkey|
L'Aurora |Paterson, NJ|1899-1930); microfilm: 1899-1930||ita|eng|M||N|||The Dawn|
L'Avvenire |Steubenville, OH|1910); microfilm: 1910||ita|eng|M||N|||The Future|
L'Avvenire |New York, NY|1916-1917); microfilm: 1916-1917||ita|eng|M||N|||The Future|
L'Avvenire |Utica, NY|1900-1905); microfilm: 1900-1905||ita|eng|M||N|||The Future|
L'Azione |New York, NY|1941-1942||ita|eng|P||N|||Action|
Il Bollettino |New York, NY|1945-1951||ita|eng|P||N|||Bulletin|
Bollettino della Sera |New York, NY|1923||ita|eng|P||N|||Evening Bulletin; merged with Il Popolo|
Bollettino dello Sciopero dei Sarti |Chicago, IL|1910); microfilm: 1910||ita|eng|M||N|||The Tailors' Strike Bulletin|
The Boston Free Press|Boston, MA|1960-1967||ita|eng,|P||N||||
The Bulletin|Middletown, CT|1948-1949||ita|eng,|P||N||||
La Calabria |New York, NY|1938||ita|eng|P||N|||Calabria|
La Capitale |Sacramento, CA|1938||ita|eng|P||N|||Capital|
The Challenge|New York, NY|1970-1974||ita|eng,|P||N||||
Il Cittadino |New York, NY|1916; microfilm: 1915-1919||ita|eng|M||N|||The Citizen|
The Colorado Leader|Denver, CO|1974-date||ita|eng,|P||N||||
Columbus|Denver, CO|1928-1929||ita||P||N||||
Il Commerciante Italiano |New York, NY|1936, 1938||ita|ita,eng|P||N|||The Italian Merchant|
The Connecticut Italian Bulletin|Hartford, CT|1972-1974||ita|eng,ita,|P||N||||
La Cooperazione |Barre, VT|1911); microfilm: 1911||ita|eng|M||N|||Cooperation|
Corriere Commerciale |New York, NY|1936||ita|eng|P||N|||Commercial Courier|
Corriere d'America |New York, NY|1923-1940||ita|eng|P||N|||American Courier|
Il Corriere del Berkshire |Pittsfield, MA|1969-1974||ita|eng|P||N|||The Berkshire Courier|
Il Corriere di Chicago |Chicago, IL|1907, 1917); microfilm: 1907, 1917||ita|eng|M||N|||The Chicago Messenger|
Corriere Canadese |Toronto, Ontario, Canada|1964-1971||ita|eng|P||N|||Canadian Courier|
Corriere de Trinidad |Trinidad, CO|1919, 1934, 1941||ita|eng,|P||N|||Trinidad Courier|
Il Corriere del Popolo |Pueblo, CO), San Francisco, CA|1935-1936, 1938-1940, 1942-1945, 1947-1954, 1957-1959, 1961-1962, 1965; microfilm: 1916-1962||ita|eng|M||N|||The People's Messenger; absorbed L'Unione|
Corriere del Wisconsin |Milwaukee, WI|1927||ita|eng,|P||N|||Wisconsin Courier|
Corriere Illustrato |Toronto, Ontario, Canada|1964-1969||ita|eng,|P||N|||Illustrated Courier|
