Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
ACIM Dispatch |New York, NY|1952-1968, 1971-1973||ita|eng,ita,|P||N|||American Committee on Italian Migration|
ACIM Newsletter |New York, NY|1969-1970, 1972-1976, 1978-date||ita|eng,ita,|P||N|||American Committee on Italian Migration|
Affari Sociali Internazionali |Milan, Italy|1973, 1984-1987||ita|eng|P||N|||International Social Relations|
L'Alba Sociale |Ybor City-Tampa, FL|1901); microfilm: 1901||ita|eng|M||N|||The Social Dawn|
L'Allarme |Sommerville, MA|1916); microfilm: 1916||ita|eng|M||N|||The Alarm|
Almanacco Enciclopedico Personeni |New York, NY/San Francisco, CA|1930||ita|eng|P||N|||Encyclopedic Almanac Personeni|
Almanacco Sociale Italo Americano |Chicago, IL|1924 (English section)-1925||ita|eng,ita,|P||N|||Italian American Social Almanac|
Almanacco Sovversivo |Barre, VT|1906-1907||ita|eng|P||N|||Subversive Almanac|
America |Denver, CO|1923-1924||ita|eng|P||N|||previously titled La Frusta|
America|St|1942-1943||ita|eng,|P||N||||
America-Italy Newsletter|New York, NY|1955-1978, 1983||ita|eng,|P||N||||
America-Italy Society Inc. Memo|New York, NY|1977-1978||ita|eng,|P||N||||
American Italian Historical Association |Brooklyn, NY (place of publication varies)|1967-1968, 1970, 1972-1975, 1977-1983, 1985 (one undated issue)||ita|eng,ita,|P||N|||AIHA|
American-Italian Historical Association Central Jersey Chapter Newsletter|Princeton, NJ|1981||ita|eng,ita,|P||N||||
Return to top.||||ita||P||N||||
American Italian Historical Association Central New York Chapter Newsletter|Morrisville, NY|1985-date||ita|eng,ita,|P||N||||
American Italian Historical Association Maryland|Washington, DC|1977||ita|eng,ita,|P||N||||
American Italian Historical Association Midwest Regional Chapter Newsletter|Chicago, IL|1980||ita|eng,ita,|P||N||||
American Italian Historical Association Western Chapter Newsletter|San Franscisco, CA|1978-date||ita|eng,ita,|P||N||||
Americans of Italian Descent|Inc|1968-1969||ita|eng,ita,|P||N||||
AMITA |New York, NY|1977, 1979, 1981||ita|eng,ita,|P||N|||American Italian Achievements|
L'Anarchia |New York, NY|(Microfilm: 1918); microfilm: 1918||ita|eng,|M||N|||Anarchy|
L'Anarchico |New York, NY|1888); microfilm: 1888||ita|eng|M||N|||The Anarchist|
Antonion |St|1983-date||ita|eng,|P||N|||Society of St. Anthony of Padua|
L'Appello |Cleveland, OH|1917); microfilm: 1917||ita|eng|M||N|||The Call|
Arba Sicula; Sicilian Language Folklore and Literary Review|Brooklyn, NY|1979-1980, 1983-1984, 1986||ita|eng,|P||N||||
L'Asino |Rome, Italy|1901-1908, 1917, 1919-1922||ita|eng|P||N|||The Donkey|
Association of Italian-Canadian Writers Newsletter|Edmonton, Alberta, Canada|1987||ita|eng,ita,|P||N||||
Attenzione |New York, NY|1979-date||ita|eng,|P||N|||Attention|
L'Aurora |Brooklyn, NY|1924||ita|eng|P||N|||The Dawn|
L'Aurora |Utica, NY|1928-1929); microfilm: 1928-1929||ita|eng,|M||N|||The Dawn|
Return to top.||||ita||P||N||||
L'Avvenire |New York, NY|1943||ita|eng|P||N|||The Future|
Balilla|Lynn, MA|1912); microfilm: 1912||ita||M||N||||
The Beacon |Cleveland, OH|1933||ita|eng,|P||N|||previously titled The East Side Journal and The Mayfield Herald|
Bollettino della Giunta Cattolica Italiana per L'Emigrazione |Rome, Italy|1951-1952, 1964||ita|ita,eng|P||N|||Bulletin of the Italian Catholic Committee for Emigration|
Il Bollettino Italiano |Chicago, IL|1957-1958||ita|eng,ita,|P||N|||The Italian Bulletin|
Bollettino Quindicinale dell'Emigrazione |Milan, Italy|1949-1953||ita|eng|P||N|||Biweekly Emigration Bulletin|
The Bridge|St|1944-1945||ita|eng,|P||N||||
Il Caffe |Sacramento, CA|1981-1982||ita|eng|P||N|||The Cafe|
Calendario Civile |Chicago, IL|1954||ita|eng|P||N|||Civic Calendar|
Il Carroccio |New York, NY|1915-1916, 1920-1925, 1930-1932||ita|eng,ita,|P||N|||The Italian Review|
Casa Italiana Newsletter |New York, NY|1966, 1971, 1975-1977||ita|eng,ita,|P||N|||Columbia University|
Center of Italian-American Studies|Brooklyn, NY|1980||ita|eng,ita,|P||N||||
La Cisilute|Rexdale, Ontario, Canada|1976||ita||P||N||||
Columbus |New York, NY|1917-1924, 1928||ita|eng,|P||N|||previously titled Corriere Italo-Americano|
Columbus Day Souvenir Program|San Francisco, CA|1971, 1973, 1976, 1978-1980||ita|eng,|P||N||||
Return to top.||||ita||P||N||||
Comitato Italiano per la Storia Americana Bollettino |Florence, Italy|1976||ita|ita,eng|P||N|||Italian Committee for American History Bulletin|
Comparè|New York, NY|1976||ita|eng,|P||N||||
Il Compasso |Chicago, IL|1954||ita|eng|P||N|||The Compass|
La Comune |Philadelphia, PA|1911-1915); microfilm: 1911-1915||ita|eng|M||N|||The Commune|
Congress of Italian-American Organizations|Inc|1972-1977||ita|eng,ita,|P||N||||
Controcorrente |Boston, MA|1938-1951||ita|eng,|P||N|||Countercurrent|
Controcorrente: Rivista di Critica e di Battaglia |Boston, MA|Rivista di Critica e di Battaglia (Countercurrent: Magazine of Criticism and Battle), Boston, MA||ita|eng|P||N|||Countercurrent: Magazine of Criticism and Battle|
Il Contro-Pelo |Barre, VT|1911-1912); microfilm: 1911-1912||ita|eng|M||N|||Counterpoint|
Il Convito |Bronx, NY|1926-1927||ita|eng|P||N|||The Banquet|
Il Co-operatore |Pueblo, CO|1918-1919; microfilm: 1918-1919||ita|eng|M||N|||The Cooperator; Official Organ of the Pueblo Cooperative Association Mercantile Co.|
Dante|New York, NY|1940||ita|eng,|P||N||||
I Diritti dell'Uomo |Rome, Italy|1952||ita|eng|P||N|||The Rights of Man|
Divagando |New York, NY|1952, 1955-1957||ita|eng|P||N|||Wandering|
