Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Jewish Journal|Brooklyn, NY|1977-1978||eng|eng,|P||N||||
Jewish Press|Brooklyn, NY|1977-1978||eng|eng,|P||N||||
Jewish Record|Elizabeth, NJ|1941||eng|eng,|P||N||||
The Jewish Week & The American Examiner|New York, NY|1977||eng|eng,|P||N||||
JIAS News|Montreal, Quebec, Canada|1978-date||eng|eng,fre,|P||N||||
Novy Americanetz |Jersey City, NJ|1980||eng||P||N|||New American|
Reform Judaism|New York, NY|1977||eng|eng,|P||N||||
Wisconsin Jewish Chronicle|Milwaukee, WI|1974||eng|eng,|P||N||||
 ||||eng||P||N||||
American Jewish Archives|Cincinnati, OH|1973-1982, 1984-date||eng|eng,|P||P||||
American Jewish Joint Distribution Committee Annual Report|New York, NY|1940-1946||eng|eng,|P||P||||
American Jewish Life|New York, NY|1951-1952||eng|eng,|P||P||||
American Judaism|New York, NY|1954, 1962, 1965||eng|eng,|P||P||||
Bnai Yiddish Journal|New York, NY|1975||eng|eng,|P||P||||
Calumet |Toronto, Ontario, Canada|1979||eng|eng,|P||P|||Canadian Council of Christians and Jews|
Canadian Jewish Yearbook|Montreal, Quebec, Canada|1959||eng|eng,|P||P||||
Dropsie College for Hebrew and Cognate Learning Register|Philadelphia, PA|1928-1929||eng|eng,|P||P||||
Identity|Minneapolis, MN|1967-1984||eng|eng,|P||P||||
The Immigrant|New York, NY|1928||eng|eng,|P||P||||
Institute of Jewish Affairs Periodic Reports on the Jewish Position|New York, NY|1964||eng|eng,|P||P||||
Issues|New York, NY|1962-1965, 1967-1969||eng|eng,|P||P||||
Jewish Currents|New York, NY|1977-1978||eng|eng,|P||P||||
Jewish Family Almanac|New York, NY|1943||eng|eng,|P||P||||
Jewish Information|Chicago, IL|1962||eng|eng,|P||P||||
Jewish Life|New York, NY|1956||eng|eng,|P||P||||
Jewish Newsletter|New York, NY|1960-1961||eng|eng,|P||P||||
Kultur un Lebn |New York, NY|1975||eng|eng,|P||P|||Culture and Life|
Leo Baeck Institute Yearbook XIII|London, England|1968||eng|eng,ger,|P||P||||
Modern Jewish Studies|Flushing, NY|1977-1979||eng|eng,|P||P||||
New American |Jersey City, NJ|1980||eng|eng,|P||P|||Committee for the Absorption of Soviet Emigres|
The Record|Washington, DC|1968||eng|eng,|P||P||||
Search|Niles, IL|1983-date||eng|eng,|P||P||||
Studies in American Jewish Literature|University Park, PA|1975-1979||eng|eng,|P||P||||
Tayerer Landsman |Miami, FL|1987-date||eng|eng,|P||P|||Dear Countrymen|
Unser Tsait |New York, NY|1972-1979||eng||P||P|||Our Time|
Yiddish Studies and MJS |Flushing, NY|1978-1979||eng|eng,|P||P|||Modern Jewish Studies|
YIVO News |New York, NY|1984-1987||eng|eng,|P||P|||previously titled News of the YIVO; YIVO Institute for Jewish Research|
