Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Amerikas Vestnesis |Boston, MA|1955, 1958-1959, 1961||lav|eng|P||N|||American Herald|
Amerikas Westnesis |Boston, MA|1918; microfilm: 1897-1904||lav|eng|M||N|||Amerikas Vestnesis; American Herald|
Deewa Sweiksme |Boston (Roxbury), MA|1906||lav|eng|P||N|||Dieva Sveiksme; Praise to the Lord|
Dzimtene |Württemberg, Germany|1945||lav|ger,eng|P||N|||The Homeland|
Dzimtenes Balss |Riga, Latvia|1959, 1961-1964, 1966-1968, 1971-1977, 1980-1983, 1985||lav|eng|P||N|||Voice of the Homeland|
Grevenes Zinas |Greven, Germany|1946||lav|ger,eng|P||N|||Greven News|
Jaunais Apskats |Toronto, Ontario, Canada|1955||lav|eng|P||N|||New Review|
Laiks |Brooklyn, NY|1949-date||lav|eng|P||N|||Time|
Latgola|Berghauser, Germany|1948||lav|ger,|P||N||||
Latviesu Vestnesis |Dillingen, Germany|1945||lav|ger,lav,eng|P||N|||Latvian Herald|
Latvija |Augsdorf bei Detmold, West Germany|1951||lav|ger,eng|P||N|||Latvia|
Latvija Amerika |Toronto, Ontario, Canada|1951-date||lav|eng|P||N|||Latvia in America; previously titled Latvija Briva Balss|
Latvju Balss |Berlin, Germany|1944-1945||lav|ger,lav,eng|P||N|||Latvian Voice; previously titled Latviesu Balss|
Par Atgriesanos Dzimtene |Berlin, East Germany|1955-1958||lav|ger,eng|P||N|||About Returning Home|
Pasaule|Mortdale, NSW, Australia|1953||lav||P||N||||
Sporta Apskats |Toronto, Ontario, Canada|1956-1957, 1959-1963, 1968||lav|eng|P||N|||Sports Roundup|
Talos Krastos |Philadelphia, PA|1948||lav|eng|P||N|||At the Distant Shores|
Tevzeme |Hanau, Germany|1945-1948||lav|ger,eng|P||N|||Fatherland; merged with Dzimtenes Balss in 1946|
Aglonas Vestis |Chicago, IL|1974, 1977, 1980-1983||lav|eng|P||N|||News of Algona|
Akademiska Dzive |Minneapolis, MN|1961-1981||lav|eng|P||N|||Academic Life|
Amberland; "Dzimtenes Balss" |Riga, Latvia|1968, 1973-1975||lav|eng,|P||N|||Motherland's Voice|
ALA Kulturas Biroja Biletens |New York, NY|1959-1966||lav|lav,eng|P||N|||American Latvian Association Bureau of Culture Bulletin|
