Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
America|Brooklyn, NY|1946, 1948-1951||lit||P||N||||
Amerika|Brooklyn, NY|1949||lit||P||N||||
Amerikos Lietuvis |Worcester, MA|1936, 1947, 1949, 1952, 1954||lit|lit,eng|P||N|||The American Lithuanian|
Argentinos Lietuviu Balsas |Buenos Aires, Argentina|1983||lit|lit,eng|P||N|||The Voice of Argentinian Lithuanians|
Ausra |Warsaw, Poland|1960-1962, 1966||lit|eng|P||N|||Dawn|
Darbas |New York, NY|1929-1930); microfilm: 1929-1930||lit|eng|M||N|||Labor|
Darbininkas |Brooklyn, NY|1947-1956, 1958-1968, 1970-date||lit|eng|P||N|||Worker|
Dirva |Cleveland, OH|1949, 1954, 1959-date||lit|eng|P||N|||The Field|
Draugas |Chicago, IL|1948-1949, 1951, 1953-1954, 1957, 1959-1968, 1970-date||lit|eng|P||N|||The Friend|
Europos Lietuvis |London, England|1985, 1986||lit|lit,eng|P||N|||European Lithuanian|
Floridos Lietuviai |Gulfport, FL|1961-1964||lit|lit,eng|P||N|||Lithuanians in Florida|
Garsas |Wilkes-Barre, PA|1947, 1949, 1965, 1967-1968, 1973-1974, 1979-date||lit|eng,|P||N|||The Echo|
Gimtasis Krastas |Vilnius, Lithuania|1977, 1979-1985||lit|eng|P||N|||Native Land|
Karys |Berlin, Germany|1945||lit|ger,eng|P||N|||Warrior|
Keleivis |Boston, MA|1931, 1944, 1948-1949, 1951, 1953, 1955-1957, 1959-1962, 1965, 1967, 1969-1979||lit|eng|P||N|||Traveler|
Kultuve |Detmold, Germany|1947(?)-1948||lit|ger,eng|P||N|||The Thrasher|
Kultuve |Brooklyn, NY|1951-1953||lit|eng|P||N|||The Thrasher|
Laikas |Buenos Aires, Argentina|1985||lit|eng|P||N|||Time|
Laisve |Brooklyn, NY|1929, 1938, 1940, 1942, 1946-1959, 1962, 1965-1966, 1974, 1976-1984||lit|eng|P||N|||Liberty|
Laisvoji Lietuva |Chicago, IL (previously published in Toronto, Ontario, Canada)|1950-1954, 1958-1962, 1965-1981, 1985||lit|eng|P||N|||Free Lithuania|
Liaudies Balsas |Toronto, Ontario, Canada|1949||lit|eng|P||N|||The People's Voice|
Lietuviai |Berlin, Germany|1944, 1945||lit|ger,lit,eng|P||N|||The Lithuanians|
Lietuvis |Dorverden, Germany|1945||lit|ger,lit,eng|P||N|||The Lithuanian|
Lietuvis |Memmingen, West Germany|1949-1950||lit|ger,lit,eng|P||N|||The Lithuanian|
