Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Makedonska Tribuna |Indianapolis, IN|1963-date||mac|eng,|P||N|||Macedonian Tribune|
Yugoslav||||mac||P||N||||
Jugoslavenski Glasnik |Chicago, IL/Calumet, MI/New York, NY|1938-1945||mac|hrv,-scc,eng|P||N|||Yugoslav Herald|
Jugoslovenski Obzor |Milwaukee, WI|1933-1945||mac|slv,eng|P||N|||Yugoslav Observer|
Balkania|St|1967-1973||mac|eng,|P||N||||
Bulgarian Studies Association Newsletter|Gary, IN|1980||mac|eng,|P||N||||
Bulgarian Studies Group Newsletter|Gary, IN|1978-1979||mac|eng,|P||N||||
Yugoslav||||mac||P||N||||
Balkan and Eastern European American Genealogical and Historical Society|San Francisco, CA|1964-1966||mac|eng,|P||N||||
The Florida State University Center for Yugoslav-American Studies Proceedings and Reports |Tallahassee, FL|1972-1977||mac|eng,|P||N|||previously titled The Florida State University Slavic Papers|
The Florida State University Joint Yugoslav-American Advisory Council Proceedings and Reports|Tallahassee, FL|1978-1979||mac|eng,|P||N||||
Jugoslav Review|New York|1923); microfilm: 1923||mac|hrv,slv,-scc,|M||N||||
Jugoslaven |Västerås, Sweden|1979||mac|eng,hrv,|P||N|||The Yugoslav|
Jugoslavia Kalendar |Chicago, IL|1939||mac|eng,slv,|P||N|||Yugoslavia Calendar|
Kolo|New York, NY|1924||mac|slv,|P||N||||
Medunarodni Problemi |Belgrade, Yugoslavia|1982||mac|hrv,-scc,eng|P||N|||International Problems|
Nas Kalendar |Toronto, Ontario, Canada|1958||mac|slv,eng|P||N|||Our Calendar|
Sokolski Vesnik |Milwaukee, WI|1967-1975, 1980-1984||mac|hrv,slv,-scc,eng|P||N|||Sokol Herald|
T & T |Milford, NJ|1945-1948, 1950||mac|eng,|P||N|||formerly Today and Tomorrow|
The Tamburitzan|Pittsburgh, PA|1959-1961, 1976||mac|eng,|P||N||||
That's Yugoslavia |Hamburg, West Germany|1982||mac|eng,ger,|P||N|||supplement to Hrvatska Domovina|
United Committee of South-Slavic Americans Bulletin|New York, NY|1943-1946||mac|eng,|P||N||||
United Yugoslav Relief Fund of America News Bulletin |New York, NY|1941-1945||mac|eng,|P||N|||previously titled Yugoslav News Bulletin|
Yugoslav-American Academic Association of the Pacific Bulletin|Palo Alto, CA|1977||mac|eng,|P||N||||
Yugoslav-American Society Newsletter|Minneapolis, MN|1987-date||mac|eng,|P||N||||
Yugoslav Facts and Views|New York, NY|1975-1981||mac|eng,|P||N||||
Yugoslavia Ministarstvo Socijalne Politike Iseljenicki Odsek Iseljenicka Sluzba: Izvestaj Narodnoj Skupstini |Belgrade, Yugoslavia|Izvestaj Narodnoj Skupstini (Yugoslav Ministry of Social Policy Emigration Department Emigration Service: Report to National Assembly), Belgrade, Yugoslavia||mac|hrv,-scc,eng|P||N|||Yugoslav Ministry of Social Policy Emigration Department Emigration Service: Report to National Assembly|
