Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Action|New York, NY|1969-1983; microfilm: 1953-1961||ara|eng,|M||N||||
Abu Simbel News|New York, NY|1966, 1969||ara|eng,|P||P||||
Al-‘Alam al-Jadid |New York, NY|1913-1915||ara|eng|P||P|||The New World|
AMARA Newsletter|Boston, MA|1968-1970||ara|eng,|P||P||||
ADC Activity Report|Washington, DC|1988||ara|eng,|P||P||||
ADC Action Alert|Washington, DC|1984||ara|eng,|P||P||||
ADC Bulletin|Santa Ana, CA|1984-1985||ara|eng,|P||P||||
ADC Background Papers |Washington, DC|1982-1984||ara|eng,|P||P|||American Arab Anti-Discrimination Committee Research Institute|
ADC Intern Perspectives|Washington, DC|1989-1999, 2001||ara|eng,|P||P||||
ADC Insider’s Report|Washington, DC|1986, 1987; microfilm: 1926-1935||ara|eng,arm,|M||P||||
135 new serial titles and 7 newspaper titles were added in 2012 and 2013 from the Francis Maria collection.||||ara||P||P||||
