Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Ameryka-Echo |Chicago, IL (previously published in Toledo, OH)|1926, 1955-1956, 1962-1964, 1966-1968||pol|eng|P||N|||America-Echo|
Ameryka-Echo |Toledo, OH|1914-1931); microfilm: 1914-1931||pol|eng|M||N|||America-Echo; Toledo Daily Mail Edition|
Ameryka-Echo |Toledo, OH|1915-1933); microfilm: 1915-1933||pol|eng|M||N|||America-Echo; Toledo Daily Edition|
Ameryka-Echo |Toledo, OH|1889-1971); microfilm: 1889-1971||pol|eng|M||N|||America-Echo; Toledo Weekly Edition|
Ameryka-Echo |Toledo, OH|1914-1956); microfilm: 1914-1956||pol|eng|M||N|||America-Echo; Toledo Weekly Mail Edition|
Czas |Brooklyn, NY|1931, 1948-1975; microfilm: 1906-1929, 1931-1975||pol|eng|M||N|||Times|
Czas |Winnipeg, Manitoba, Canada|1931, 1968-date||pol|pol,eng|P||N|||Polish Times|
Czerwone Maki |Ludlow, MA|1985||pol|eng,|P||N|||Red Poppy Seeds|
Dziennik Chicagoski |Chicago, IL|1921, 1927-1932, 1935, 1938-1947, 1951-1970||pol|pol,eng|P||N|||The Polish Daily News|
Dziennik dla Wszystkich |Buffalo, NY|1943, 1955-1956||pol|eng|P||N|||Everybody's Daily|
Dziennik Polski |Detroit, MI|1975-1980; microfilm: 1904-1941; includes Sunday supplement 1936-1939||pol|pol,eng|M||N|||Polish Daily News|
Dziennik Polski |London, England|1968||pol|pol,eng|P||N|||The Polish Daily|
Dziennik Zjednoczenia |Chicago, IL|1933||pol|eng|P||N|||The Union Daily News|
Dziennik Zjednoczenia |Chicago, IL|1922, 1927); microfilm: 1922, 1927||pol|eng|M||N|||The Union Daily News|
Dziennik Zwiazkowy |Chicago, IL|1940-1941, 1948-1950, 1954-1956, 1961-1962, 1964, 1966, 1970-date||pol|pol,eng|P||N|||Polish Daily Zgoda|
Dziennikarz |Chicago, IL|1937||pol|eng|P||N|||The Journalist|
