Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Comuniunea Româneasca |Detroit, MI|1973-1979, 1981-1982||rum|eng,|P||N|||Romanian Community|
Credinta |Detroit, MI|1966-2002||rum|eng,|P||N|||The Faith|
Cuvântul Românesc |Hamilton, Ontario, Canada|1976-1986, 1991-2002||rum|eng|P||N|||The Romanian Voice|
Dreptatea |New York, NY|1974-1985||rum|eng|P||N|||Justice|
Drum |Grosse Point Woods, MI|1966-1974||rum|eng|P||N|||Path|
Ecouri Românesti |Toronto, Ontario, Canada|1974-1984||rum|eng|P||N|||Romanian Echoes|
Glasul Patriei |Bucharest, Romania|1972||rum|eng|P||N|||Voice of the Fatherland|
Glasul Vremii |Youngstown, OH|1912); microfilm: 1912||rum|eng|M||N|||The Voice of the Time|
Libertatea |Woodside, NY (Detroit, MI)|1929-1930); microfilm: 1929-1930||rum|eng|M||N|||Freedom|
România|New York, NY|1968||rum||P||N||||
Românul |Youngstown, OH (previously published in Cleveland, OH)|1928-1929; microfilm: 1906-1928||rum|eng|M||N|||The Romanian|
Românul |Long Island, NY|1960||rum|spa,eng|P||N|||The Romanian|
Românul American |Detroit, MI|1939-1950, 1955-1960||rum|eng|P||N|||The Romanian American|
Solia |Detroit, MI|1936-1973; microfilm: 1936-1973||rum|eng,|M||N|||The Herald|
Steaua Noastra |New York, NY|1912-1931); microfilm: 1912-1931||rum|eng|M||N|||Our Star|
Tribuna Româna |Detroit, MI|1930||rum|eng|P||N|||The Romanian Tribune|
Tribuna României |Bucharest, Romania|1972-1989||rum|eng,|P||N|||Romania's Tribune|
�||||rum||P||N||||
Asociatia Româna din Canada Buletinul |Montreal, Quebec, Canada|||rum|fre,eng|P||P|||The Bulletin of the Romanian Association in Canada|
Biblioteca Andreiu Saguna |New York, NY|1950||rum|eng|P||P|||The Andrei Saguna Library|
Boian News Service|New York, NY|1972-date||rum|eng,|P||P||||
Buletin de Informatie Pentru Români in Exil |Paris, France|1955-1957||rum|fre,eng|P||P|||Information Bulletin for Romanians in Exile|
Calendarul America |Detroit, MI (previously published in Cleveland, OH)|1912, 1916, 1920, 1922-1928, 1930, 1932-1974||rum|eng,|P||P|||America Calendar|
Calendarul Bibliotecei Române |New York, NY|1917||rum|eng|P||P|||Romanian Library Calendar|
Calendarul Candela |Detroit, MI|1957||rum|eng|P||P|||Candle Calendar|
Calendarul Credinta |Detroit, MI|1966-1971, 1975-1978, 1983; microfilm: 1966-1971||rum|eng,|M||P|||"The Faith" Calendar|
Calendarul Solia |Jackson, MI|1936-1978, 1981||rum|eng,|P||P|||Solia Almanac|
Calendarul Viata Noua |Detroit, MI|1934-1935||rum|eng|P||P|||New Life Calendar|
Calendarul Ziarului Desteptarea |Detroit, MI|1922, 1927-1928, 1937-1938, 1946-1958, 1964); microfilm: 1922, 1927-1928, 1937-1938, 1946-1958, 1964||rum|eng|M||P|||Newspaper Awakening Calendar|
Carpathian Observer|Rochester, NY|1976, 1978||rum|eng,|P||P||||
Chrestinul |Cleveland, OH|1913-1914); microfilm: 1913-1914||rum|eng,|M||P|||The Christian|
La Cos |Edwardsville, IL|1904||rum|eng|P||P|||At the Wastebasket|
Cronica Romaneasca |New York, NY|1955, 1957||rum|eng|P||P|||Report on Romania|
Curierul |Santa Clara, CA|1983||rum|eng|P||P|||The Courier|
Datini |St|||rum|eng|P||P|||Traditions|
Fiii Daciei |New York, NY|1972-date||rum|eng|P||P|||Sons of Dacia|
Foaia Interesanta |Cleveland, OH|1917); microfilm: 1917||rum|eng|M||P|||Interesting Page; literary page of Libertatea|
Holocaust Christian|New York, NY|1984-1990||rum|eng,|P||P||||
Information Bulletin|Jackson, MI|1983-2009||rum|eng,|P||P||||
Lucruri Noi si Vechi |Glendale, CA|1985-1989||rum|eng|P||P|||New and Old Works|
Lumea Libera |Cincinnati, OH|Renasterea), Cincinnati, OH; microfilm: 1911-1914||rum|eng|M||P|||The Free World; title varies: Renasterea|
Luminatorul |Cleveland, OH (previously published in Detroit, MI)|1944, 1966-1974||rum|eng,|P||P|||The Illuminator|
Miorita |Hamilton, New Zealand, and Rochester, NY|1977-1981, 1983||rum|eng,|P||P|||Young Lamb|
Micro Magazin|Astoria, Queens, New York|||rum|eng,fre,|P||P||||
The New Pioneer|Cleveland, OH|1942, 1945, 1948||rum|eng,|P||P||||
New York Spectator|Brooklyn, NY|1982-1984||rum|eng,fre,|P||P||||
Porunca Vremii |New York, NY|1970-1990||rum|eng|P||P|||Master of the Times|
Pribeagul |New York, NY|1911); microfilm: 1911||rum|eng|M||P|||The Wanderer|
România Democrata |Woodside, NY|1972-1982||rum|eng|P||P|||Democratic Romania|
România Muncitoare |Paris, France|1954||rum|eng|P||P|||Laboring Romania|
Romanian American Ladies Association Newzette|Youngstown, VA|||rum|eng,|P||P||||
Romanian Bulletin |New York, NY|1972-1973, 1975-1979||rum|eng,|P||P|||Romanian Library|
Romanian Orthodox Church News|Bucharest, Romania|1973-1974, 1982||rum|eng,|P||P||||
Romanian Orthodox Episcopate of America Congresul Episcopiei Annual Report|Grass Lake, MI|1974-1978||rum|eng,|P||P||||
Romanian Sources|Pittsburgh, PA|1975-1980||rum|eng,|P||P||||
Roumania|Chicago, IL|1917-1918); microfilm: 1917-1918||rum|eng,|M||P||||
Roumanian Bulletin|New York, NY|1932-1935); microfilm: 1932-1935||rum|eng,|M||P||||
Society for Romanian Studies Newsletter|Huntington, IN|||rum|eng,|P||P||||
Solia |Detroit, MI|1974-2010||rum|eng,|P||P|||The Herald; previously published as a newspaper|
Steaua Noastra si România Noua |New York, NY|1920||rum|eng,|P||P|||Our Star and the New Rumania|
Tara si Exilul |Dominican Republic|1973-1975, 1983-1985||rum|eng|P||P|||Country and the Exile|
Tribuna Noastra |New York, NY|1978-1979, 1981-1991||rum|eng|P||P|||Our Tribune|
Tricolorul |Toronto, Ontario, Canada|1980-1982||rum|eng,fre,|P||P|||The Tricolor|
Unirea |East Chicago, IN (previously published in Cleveland, OH)|1950-1999||rum|eng,|P||P|||The Union|
Unirea Almanac |Romanian Catholic Church Almanac), East Chicago, IN|Calendarul Bisericei Române Catolice, Romanian Catholic Church Almanac), East Chicago, IN||rum|eng,|P||P|||title varies: Calendarul Bisericei Române Catolice|
