Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Dyiia Posliedyiia Novosty |Paris, France|1927||rus|eng|P||N|||News of Recent Events|
Griadushchee |Sydney, Australia|1956-1957||rus|eng|P||N|||The Future|
Kazak |Neuilly-sur-Seine, France|1951-1953, 1955, 1957-1964, 1971-1976||rus|fre,eng|P||N|||Cossack|
Light of Orthodoxy|Pittsburgh, PA|1962, 1964-1965, 1967-1968||rus|eng,|P||N||||
Lubov |Mayfield, PA|1924-1957; microfilm: 1924-1957||rus|eng|M||N|||Love|
Nashe Vremia |San Francisco, CA|1953||rus|eng|P||N|||The Modern Time|
Nashi Dni |Bryte, CA|1967-1969||rus|eng|P||N|||Our Days|
Novaia Zaria |San Francisco, CA|1948, 1953, 1962||rus|eng|P||N|||New Dawn|
Novoe Russkoe Slovo |New York, NY|1941-1944, 1951-2003||rus|eng|P||N|||New Russian Word|
Novy Mir |New York, NY|1911; microfilm: 1911-1919, 1926-1938||rus|eng|M||N|||New World; merged with Russky Golos|
Orthodox America|Etna, CA|1984||rus|eng,|P||N||||
The Orthodox Church|New York, NY (previously published in Philadelphia, PA)|1965-1976||rus|eng,|P||N||||
Posliedniia Novosti |Paris, France|1927||rus|eng|P||N|||Latest News|
Possev |Frankfurt am Main, West Germany|1947-1949, 1954, 1964||rus|ger,eng|P||N|||Sowing|
Pravda |Philadelphia, PA|1943, 1945, 1952-1954, 1960-1961, 1963-date; microfilm: 1917-1975||rus|eng,|M||N|||The Truth|
Pravoslavny Amerikanski Viestnik |New York, NY|Russko-Amerikanski Pravoslavny Viestnik), New York, NY; microfilm: 1896-1897||rus|eng,|M||N|||Orthodox American Herald; title varies: Russko-Amerikanski Pravoslavny Viestnik|
Rossiia Zagranitzei |New York, NY|1965||rus|eng,|P||N|||Outside Russia|
Rossiya |New York, NY|1942-1943, 1952, 1955, 1958-1963, 1965-1973||rus|eng|P||N|||Russia|
Russkaia Mysl'; La Pensée Russe |Paris, France|1948, 1953, 1955-1957, 1961, 1963-1964, 1971||rus|eng|P||N|||Russian Thought|
Russkaia Zhizn' |San Francisco, CA|1962, 1964-1975, 1977||rus|eng|P||N|||Russian Life|
Ruskii Emigrant |New York, NY|1912-1914||rus|eng|P||N|||The Russian Emigrant|
Russko-Amerikanski Pravoslavny Viestnik |Jackson Heights, Long Island, NY|Pravoslavny Amerikanski Viestnik), Jackson Heights, Long Island, NY; microfilm: 1896-1942||rus|eng,|M||N|||Russian American Orthodox Messenger; title varies: Pravoslavny Amerikanski Viestnik|
Russky Golos |New York, NY|1945, 1963-date||rus|eng|P||N|||Russian Voice|
Svit |Wilkes-Barre, PA (previously published in Philadelphia, PA)|1911-1915, 1917-1924, 1927-1928, 1931-1944, 1946-1947, 1958, 1965-date; microfilm: 1908, 1911-1924, 1927-1928, 1931-1944, 1946-1948, 1953-1954, 1965-1971, 1973-1975||rus|eng,|M||N|||The Light|
Vestnik Russkago Studencheskago Khrystiankago Dvizheniia; Le Messager |Paris, France|1931); microfilm: 1931||rus|eng|M||N|||Herald of the Russian Student Christian Movement|
Za Vozvrashcenie na Rodinu |Berlin, East Germany|1955-1960||rus|ger,eng|P||N|||For Return to the Motherland|
American Russian Cultural Association Annual Report|New York, NY|1943-1947||rus|eng,|P||N||||
Amerikanski Pravoslavny Viestnik' |New York, NY|1918||rus|eng,|P||N|||Russian Orthodox American Messenger|
The Archangel|Philadelphia, PA|1952-1959, 1969||rus|eng,|P||N||||
Association of Russian Imperial Officers in America Biulleten' |New York, NY|1955-1956||rus|eng|P||N|||Bulletin|
Belyi Lotos |Santa Barbara, CA|1959, 1962-1963||rus|eng|P||N|||White Lotus|
Bich |New York, NY|||rus|eng|P||N|||The Whip; Humor Magazine|
D.P. Satirikon|Augsburg, West Germany|1949-1950||rus|ger,|P||N||||
Delo Truda--Probuzhdenie |New York, NY|1961||rus|eng|P||N|||Cause of Labor--Awakening|
Den' Russkago Rebenka |San Francisco, CA|1954||rus|eng|P||N|||Day of the Russian Child|
Detstvo vo Khriste |Trenton, NJ|||rus|eng|P||N|||Childhood in Christ|
Dietstvo i Iunost' vo Khristie |Mahopac, NY|1955||rus|eng|P||N|||Childhood and Youth in Christ|
Edinaia Tserkov |New York, NY|1951-1954||rus|eng|P||N|||One Church|
Eparkhial'niia Viedomosti |New York, NY|1953-1954||rus|eng|P||N|||Diocesan Journal|
Evanhel'skii Vestnyk |Chicago, IL|1960||rus|eng|P||N|||Russian Gospel Messenger|
Golos Truda |New York, NY|1911||rus|eng|M||N|||The Voice of Labor|
Holy Trinity Monastery|Jordanville, NY|one undated issue, 1956, 1963, 1965||rus|eng,|P||N||||
Iezhegodnik Pravoslovno Tserkvy v Amerike |Syosset, NY|1975-1979||rus|eng|P||N|||Annual of the Orthodox Church of America|
Informatsiny Biulleten' Russkogo Emigrantskogo Lageria v Shlesgeme |Schleissheim, Germany|1947-1948||rus|ger,eng|P||N|||Information Bulletin of the Russian Emigrant Camp in Schleissheim|
Informatsionny Biulleten' |Utica, NY|1958, 1961-1963||rus|eng|P||N|||Information Bulletin|
Kanadsky Pravoslavny Kalendar |Toronto, Ontario, Canada|Pravoslavny Tserkovny Kalendar), Toronto, Ontario, Canada||rus|gre,eng|P||N|||Canadian Greek Orthodox Calendar; title change 1973: Pravoslavny Tserkovny Kalendar|
Klich K' Molodo Rossii |San Francisco, CA|1933-1934||rus|eng|P||N|||Call to Young Russia|
Koster Razvedchika |Oak Park, IL|1964-1965, 1981||rus|eng|P||N|||Camp Fire Lighter|
Light of Orthodoxy|New York, NY|1953||rus|eng,|P||N||||
Luch |Iselin, NJ|1960||rus|eng|P||N|||Ray|
Medved' |Cleveland, OH|1958-1959||rus|eng|P||N|||The Bear|
Metropolia News |New York, NY|1964||rus|eng,|P||N|||Official Acts of the Russian Orthodox Church of America|
Miloserdni Samarianin; Russki Zhurnal v Kanade |Lethbridge, Alberta, Canada|1954||rus|eng,|P||N|||Good Samartian; Russian Journal in Canada|
