Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Diocesan Observer|Libertyville, IL|1965-1986||-scc|eng,|P||N||||
Glas Kanadskih Srba |Windsor, Ontario, Canada|1971-date||-scc|eng,|P||N|||Voice of Canadian Serbs|
Jugoslovenski Americki Glasnik |Monterey Park, CA|1961-1970||-scc|eng,|P||N|||Yugoslav-American Herald|
Kanadski Srbobran |Hamilton, Ontario, Canada|1963-date||-scc|eng|P||N|||The Canadian Srbobran [Serb Defender]|
Path of Orthodoxy |Leetsdale, PA|1977-date||-scc|eng,-scc,|P||N|||official organ of the Serbian Orthodox Church in the United States and Canada|
Sloboda |Chicago, IL|1965-1982||-scc|eng|P||N|||Liberty|
Slobodna Rec |Pittsburgh, PA|1934-1948); microfilm: 1934-1948||-scc|eng|M||N|||Free Expression|
Srbadija |New York, NY|1921-1927); microfilm: 1921-1927||-scc|eng|M||N|||Serbia|
Srpska Borba |1982), Chicago, IL|1953-1981||-scc|eng,-scc,|P||N|||The Serbian Struggle; format changes to a serial|
Yugoslav||||-scc||P||N||||
Jugoslavenski Glasnik |Chicago, IL/Calumet, MI/New York, NY|1938-1945||-scc|hrv,-scc,eng|P||N|||Yugoslav Herald|
Jugoslovenski Obzor |Milwaukee, WI|1933-1945||-scc|slv,eng|P||N|||Yugoslav Observer|
American-Serb Life|Pittsburgh, PA|1948||-scc||P||N||||
Amerikanski Srbobran; Srpski Pravoslavni Kalendar |Pittsburgh, PA|1922-1923, 1926, 1941, 1943, 1962-1965||-scc|eng,-scc,|P||N|||American Serb Defender; Serbian Orthodox Calendar|
The Beacon|Alhambra, CA|1965||-scc|eng,|P||N||||
Bratstvo |Serbian Monthly Review), Toronto, Ontario, Canada|1965||-scc|-scc,eng|P||N|||Fraternity|
Cheshal' |Cheswick, PA|1947||-scc|eng,|P||N|||The Comb|
Danas; Mesecni Casopis |Chicago, IL|1963-1964||-scc|eng|P||N|||Today; Monthly Journal|
Eparhiski Glasnik |Libertyville, IL|1964-1966||-scc|eng,|P||N|||The Diocesan Herald|
Jugoslaven |San Pedro, CA|1928||-scc|slv,eng|P||N|||The Yugoslav|
Jugoslovenski Forum |New York, NY|1926||-scc|slv,eng|P||N|||The Yugoslav Forum|
Karadorde Srpski Narodni Kalendar |Pittsburgh, PA|1928||-scc|-scc,eng|P||N|||Karadorde Serbian National Calendar|
Nasa Omladina |Pittsburgh, PA|1931||-scc|eng,|P||N|||Our Youth; special Christmas issue of the American Srbobran|
Pravoslavlje; Glasnik Srpske Pravoslavne Dzrkve |Libertyville, IL|1960, 1964||-scc|-scc,eng|P||N|||Orthodoxy; Herald of the Serbian Orthodox Church|
Ravna Gora |Windsor, Ontario, Canada|1949||-scc|eng,|P||N|||Flat Mountain|
Serb World|Milwaukee, WI|1979-1983||-scc|eng,|P||N||||
The Serbian Democratic Forum|Chicago, IL|1973, 1975||-scc|eng,-scc,|P||N||||
Serbian Orthodox Church in the U.S.A. and Canada Calendar|Pittsburgh, PA|1966, 1974||-scc|eng,-scc,|P||N||||
Serbian Orthodox Church of the United States of America and Canada Glasnik |Chicago, IL|1965||-scc|eng,-scc,|P||N|||Herald|
Serbian Orthodox Church in the United States of America and Canada Official News Digest|South Holland, IL|1965-1982||-scc|eng,-scc,|P||N||||
The Serbian Orthodox Herald|Libertyville, IL|1945||-scc|eng,-scc,|P||N||||
Srpska Borba |Flushing, NY|1982-date||-scc|-scc,eng|P||N|||The Serbian Struggle; previously published as a newspaper|
Srpsko Istorijsko-Kulturno Drustvo "Njegos" u Americi Glasnik |Chicago, IL|1974||-scc|-scc,eng|P||N|||Herald of the Serbian Historical and Cultural Association "Njegos"|
Srpska Tsrkva |Chicago, IL|1923||-scc|-scc,eng|P||N|||The Serbian Church|
Srpski Misionar; Duhovni Casopis |Jordanville, NY|1962-1964||-scc|eng,-scc,|P||N|||Serbian Missionary|
Srpski Narodni Kalendar Amerika |Chicago, IL|1959-1964||-scc|-scc,eng|P||N|||Serbian People's Calendar America|
Srpski Pravoslavni Kalendar Sveti Sava |Villa Lake, IL|1971||-scc|eng,-scc,|P||N|||Serbian Orthodox Calendar Saint Sava|
