Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Bratstvo |Wilkes-Barre, PA|1963-date||slo|eng,|P||N|||Brotherhood|
Hlas |Cleveland, OH|1912-1913); microfilm: 1912-1913||slo|eng|M||N|||The Voice|
Horizont |Munich, West Germany|1972-1982||slo|ger,eng|P||N|||Horizon|
Jednota |Middletown, PA|1965-date; microfilm: 1893-1940||slo|eng,|M||N|||The Union|
Kanadsky Slovak |Toronto, Ontario; Montreal, Quebec; and Winnipeg, Manitoba; Canada|1967-date||slo|eng,slo,|P||N|||Canadian Slovak|
Katolícke Noviny |Nádas, Czechoslovakia|1896-1900, 1902-1906); microfilm: 1896-1900, 1902-1906||slo|cze,eng|M||N|||Catholic News|
Katolícky Sokol |Passaic, NJ|1969-1979||slo|eng,|P||N|||Catholic Sokol|
L'Udové Zvesti |Toronto, Ontario, Canada|1971-date||slo|eng|P||N|||People's News|
Ludové Noviny |Skalice, Czechoslovakia|1906-1909); microfilm: 1906-1909||slo|cze,eng|M||N|||People's News|
Maticné Cítanie |Martin, Czechoslovakia|1968-1977||slo|cze,slo,eng|P||N|||Slovak Cultural Society's Readings|
Národni Hlásnik |Turciansky Sv|1868-1881); microfilm: 1868-1881||slo|cze,eng|M||N|||The National Crier|
Národné Noviny |Pittsburgh, PA|1941-1948, 1950-1983; microfilm: 1901-1941||slo|eng,|M||N|||National News|
Národné Noviny |Turciansky Sv|1881-1914); microfilm: 1881-1914||slo|eng|M||N|||National News|
Nás Svet |Chicago, IL|1942||slo|eng|P||N|||Our World|
New Yorkský Denník|New York, NY|1956||slo|slo,|P||N||||
Obzor |Ruzomberok, Czechoslovakia|1863-1904); microfilm: 1863-1904||slo|cze,eng|M||N|||The Observer|
Priatel' Dietok |Passaic, NJ|1969-1972||slo|eng|P||N|||The Children's Friend|
Slobodné Slovensko |Cologne, West Germany|1967-1974, 1976-date||slo|ger,slo,eng|P||N|||Free Slovakia; previously titled Cernákov Oskaz|
Slovák v Amerike |Middletown, PA|1951-1954, 1961-1964, 1966-date; microfilm: 1894-1938||slo|slo,eng|M||N|||Slovak American|
Slovenská Obrana |Middletown, PA|1914-1972||slo|slo,eng|P||N|||Slovak Defense; previously titled Kritika; Kritika a Obrana; Obrana|
Slovenské Ludové Noviny |Bratislava, Czechoslovakia|1910-1918); microfilm: 1910-1918||slo|cze,slo,eng|M||N|||News of the Slovak People|
Slovenský Orol |Passaic, NJ|1971||slo|eng,slo,|P||N|||Slovak Eagle|
Sokol Times|East Orange/Perth Amboy, NJ|1971-date||slo|eng,|P||N||||
United Lutheran|(previously titled Slovenský Hlásnik), Allegheny, PA (previously published in Pittsburgh, PA)|1908-1975); microfilm: 1908-1975||slo|eng,|M||N||||
United Lutheran|Ligonier, PA|1975-1978||slo|eng,|P||N||||
Wisconsinsky Slovak |Milwaukee, WI|1936); microfilm: 1936||slo|slo,eng|M||N|||Wisconsin Slovak|
Ave Maria |Cleveland, OH|1920, 1924-1933, 1936-1950, 1952-1956, 1966-1968, 1970-1972, 1974-1975||slo|eng|P||N|||Hail Mary|
Besiedka; Listy Amerických Slovákov |New York, NY|1936||slo|eng,slo,|P||N|||Chat; Letters of American Slovaks|
Bozské Srdce Jezisa |Bridgeport/Stratford, CT|1918-1933, 1935-1938, 1943-1948||slo|eng|P||N|||The Sacred Heart of Jesus|
Bozské Srdce Jezisa Kalendár |Bridgeport, CT|1924||slo|eng|P||N|||The Sacred Heart of Jesus Calendar|
Calvin|Pittsburgh, PA|1964, 1969, 1971-date||slo|eng,|P||N||||
Children's Friend|Passaic, NJ|1973-1977, 1979||slo|eng,|P||N||||
The Courier of the Slovak Luther League|Chicago, IL (previously published in Granite City, IL|1931, 1934-1944||slo|eng,slo,|P||N||||
Dennica |Pittsburgh, PA|1924-1930, 1932-1945); microfilm: 1924-1930, 1932-1945||slo|eng|M||N|||Morning Star|
Dobrý Pastier |Passaic, NJ|1947-1950, 1957, 1962, 1965-1974, 1976-1977, 1980-1983||slo|eng,|P||N|||Good Shepherd|
Return to Top||||slo||P||N||||
Dom a Skola |Ruzomberok, Czechoslovakia (previously published in Turciansky Sv|1885, 1887-1889; microfilm: 1886-1897||slo|cze,eng|M||N|||Home and School|
Domobrana |Whiting, IN (Montreal, Quebec, and Toronto, Ontario, Canada)|1954||slo|eng|P||N|||Home Guard|
Ethnologia Slavica |Bratislava, Czechoslovakia|1971||slo|eng,ukr,fre,ger,cze,slo,|P||N|||Slovak Ethnology|
Evanjelicko-Luteransky Kalendár |Pittsburgh, PA (previously published in Streator, IL)|Americký Kalendár pre Slovenských Evanjelikov Aug||slo|eng|P||N|||Evangelical-Lutheran Calendar; title varies: Americký Kalendár pre Slovenských Evanjelikov Aug. V. Vz.; Americký Kalendár pre Slovákov-Luteránov|
Fialky |Danville, PA|1924-1970||slo|eng,|P||N|||Violets|
First Catholic Slovak Ladies Union Ústava a Zákony |Cleveland, OH|1915, 1922, 1928, 1937, 1952, 1964||slo|eng,slo,|P||N|||Constitution and Bylaws|
First Catholic Slovak Union in the U.S.A. [Prvá Katolická Slovenská Jednota] Directory; Adresár|Middletown, PA|1944, 1946-1947, 1951-1952, 1956-1957, 1961, 1964, 1966, 1968-1969, 1972, 1980||slo|eng,slo,|P||N||||
First Catholic Slovak Union in the U.S.A. Ústava a Zákony |Middletown, PA|1904, 1906, 1910, 1912, 1914, 1918, 1920, 1924, 1928, 1932-1962, 1971||slo|eng,slo,|P||N|||Constitution and Bylaws|
First Catholic Slovak Union in the U.S.A. Zápisnica Konvencie |Middletown, PA|1912-1918, 1922-1926, 1931-1955, 1961-1970, 1976||slo|eng,slo,|P||N|||Convention Minutes|
First Catholic Slovak Union in the U.S.A. Zápisnica Rocnej Schôdze Hlavného Úradu |Middletown, PA|1914, 1916-1921, 1923, 1926-1967, 1970, 1973-1974, 1980, 1983||slo|eng,slo,|P||N|||Minutes of the Annual Meeting of the Supreme Board|
First Catholic Slovak Union in the U.S.A. Zápisnica z Polrocnej Schôdze Halvného Radu |Middletown, PA|1944-1950, 1952-1957, 1963-1964, 1966-1967, 1969-1971, 1974, 1978||slo|eng,slo,|P||N|||Minutes of the Semiannual Meeting of the Supreme Board|
First Catholic Slovak Union in the U.S.A. Zpráva Hlavných Úradnikov |Middletown, PA|1920, 1922, 1926-1940, 1964, 1969-1970||slo|eng,slo,|P||N|||Report of the Supreme Officers|
First Catholic Slovak Union in the U.S.A. Junior and Sokol Branch By-laws|Middletown, PA|1912, 1914, 1916, 1920, 1924, 1928, 1931, 1934, 1937, 1940, 1943, 1946, 1949, 1952, 1955, 1958, 1965||slo|eng,slo,|P||N||||
Floridský Slovak |Maitland, FL|1967, 1971, 1975-date||slo|eng,slo,|P||N|||The Floridian Slovak|
Fraternally Yours; Zenská Jednota |Passaic, NJ|1960-1980||slo|eng,|P||N|||Ladies Union|
Furdek |Cleveland, OH|1962-date||slo|eng,|P||N|||Jednota Annual|
Furdek |Middletown, PA (previously published in Scranton, PA)|1928-1933, 1935-1938||slo|eng,slo,|P||N|||The Catholic Slovak Students Fraternity of America|
Glen Echos of Mount Trexler|Mt|1968||slo|eng,|P||N||||
Hlas Mládeze |New York, NY|1947, 1950, 1961||slo|eng|P||N|||The Voice of Youth|
Hlasy z Domová a z Misií |Techny, IL (previously published in Ruzomberok, Czechoslovakia)|1930-1940, 1946-1948||slo|cze,eng|P||N|||Voices from Homeland and Missions; previously titled Hlasy z Katolíckych Misií|
Hlasy z Ríma |Rome, Italy|1952-1963, 1969-1972||slo|eng|P||N|||Voices from Rome|
Jednota; Katolícky Kalendár |Middletown, PA|1898, 1900-1920, 1923-date||slo|eng|P||N|||The Union; Catholic Calendar|
Kalendár Bratstvo pre Rimsko a Grecko Katoli'kov |Wilkes-Barre, PA|1914-1915, 1918, 1924-1925||slo|gre,eng|P||N|||Brotherhood Calendar for Roman and Greek Catholics|
Kalendár Kanadskej Slovenskej Ligy |Toronto, Ontario, Canada|1953-1958, 1960-1964, 1969-1971, 1977-1979, 1981, 1983-1984||slo|slo,eng|P||N|||Canadian Slovak League Calendar|
Kalendár Neodvislost' |New York, NY|1928-1930||slo|eng|P||N|||Independence Calendar|
Kalendár pre Slovenských Kalvínov |Pittsburgh, PA|1924, 1927||slo|slo,eng|P||N|||Calendar for Slovak Calvinists|
Kalendár Slováka v Amerike |New York, NY|1920-1921, 1923, 1945||slo|slo,eng|P||N|||Slovak in America Calendar|
Kalendár Ziveny |Pittsburgh, PA|1924-1925, 1927||slo|eng|P||N|||Calendar Ziveny|
Keeping in Touch|Middletown, PA|undated issue||slo|eng,|P||N||||
Krajana; Vel'ki Obrazkovi Kalendár |New York, NY|1921||slo|eng|P||N|||Countrymen; Large Pictorial Calendar|
Krajanský Kalendár |Chicago, IL|1958-1959||slo|eng|P||N|||Old-Country Calendar|
Krestan |Uniontown, PA|1929-1930||slo|eng|P||N|||The Christian|
Kruh Mládeze |June 1934-December 1937), Pittsburgh, PA|1916-1924, 1926-1933||slo|eng,slo,|P||N|||Young Folks' Circle of the National Slovak Society; published as Section II of the newspaper Narodne Noviny|
Kruh Mládeze |Pittsburgh, PA|1983||slo|eng,|P||N|||Young Folks Circle|
Leaflets of St. Francis|Pittsburgh, PA|1969||slo|eng,|P||N||||
Listy Svätého Frantiska |Pittsburgh, PA (previously published in Lemont, IL)|1925-1926, 1928, 1931-1932, 1943-1944, 1953, 1969-date||slo|eng|P||N|||Leaflets of St. Francis|
Literárny Almanach Slováka v Amerike |Chicago, IL|1953-1970, 1973-1975||slo|slo,eng|P||N|||Slovak in America Literary Almanac|
Logos|Cromwell, CT|1970||slo|eng,|P||N||||
L'udový Kalendár |Pittsburgh, PA|1950||slo|eng|P||N|||The People's Calendar|
The Lutheran Beacon|Pittsburgh, PA (St|1950-1955, 1957-1959||slo|eng,|P||N||||
Lutheran Haven Herald|Oviedo, FL|1951||slo|eng,|P||N||||
Maria|Toronto, Ontario, Canada|1976-date||slo|eng,|P||N||||
Matica Slovenská |Turciansky Sv|1922-1929, 1931-1932, 1934-1937||slo|cze,slo,eng|P||N|||Slovak Cultural Society|
Maticné Cítanie |Turciansky Sv|1946-1949||slo|cze,slo,eng|P||N|||Slovak Cultural Society's Readings|
Medzi Nami |Techny, IL|1955||slo|eng|P||N|||Between Us|
Misionársky Kalendár |Techny, IL|1927, 1932||slo|eng|P||N|||Missionary Calendar|
Mladost' |Buenos Aires, Argentina|1949-1952||slo|eng|P||N|||Youth|
Mladý Katolík |Panzerkaserne, West Germany|1950||slo|ger,eng|P||N|||Young Catholic|
Mladý Luterán |Racine, WI/Pittsburgh, PA|1927-1930, 1933-1939||slo|eng,|P||N|||The Young Lutheran|
Most; A Quarterly for Slovak Culture |Cleveland, OH|1954-1962, 1965-1967, 1976-date||slo|slo,eng|P||N|||Bridge|
Musical Advance|New York, NY|1939||slo|eng,|P||N||||
Muzeálná Slovenská Spolecnost' Casopis |Turciansky Sv|1927, 1929-1930, 1934-1938, 1944, 1947-1949||slo|cze,slo,eng|P||N|||Slovak Museum Society Magazine|
Muzeálná Slovenská Spolecnost' Sporník |Turciansky Sv|1926-1927, 1929-1930, 1932-1937||slo|ger,cze,slo,eng|P||N|||Slovak Museum Society Review|
Národniarsky Kalendár |Toronto, Ontario, Canada|1963, 1965||slo|eng|P||N|||Nationalist Calendar|
Národný Kalendár |Pittsburgh, PA|Sborník Narodného Slovenského Spolku), Pittsburgh, PA||slo|eng,|P||N|||The People's Calendar; title varies: Sborník Narodného Slovenského Spolku|
Nás Kalendár |Békéscaba, Hungary|1959-1962, 1964-1965||slo|eng|P||N|||Our Calendar|
Nás Zivot |Toronto, Ontario, Canada|1951||slo|eng|P||N|||Our Life|
Nase Hlasy |Chicago, IL|1968, 1980-date||slo|eng,|P||N|||Our Voice|
Nase Snahy |Elmhurst, NY|1965-1966, 1970-1976, 1978-date||slo|cze,eng|P||N|||Our Trends|
Nástup; Orgán Reprezentácie Slovenského Oslobodzovacieho Výboru vo Francúzsku |Paris, France|1952||slo|slo,eng|P||N|||Assembly; Official Organ of the Slovak Liberation Commitee in France|
National Slovak Society of the U.S.A. Financná Správa |Pittsburgh, PA|1913, 1919, 1926-1930||slo|slo,eng|P||N|||Financial Report|
National Slovak Society of the U.S.A. Stanovy |Pittsburgh, PA|1895, 1899, 1901, 1903, 1906, 1909, 1911, 1913, 1917, 1919, 1923, 1926, 1930, 1934, 1937, 1941, 1946, 1958, 1962, 1967, 1970||slo|eng,slo,|P||N|||Constitution and Bylaws|
National Slovak Society of the U.S.A. Stanovy Kruhu Mládeze |Pittsburgh, PA|1913, 1919, 1923, 1926, 1930, 1934, 1937, 1941||slo|eng,slo,|P||N|||Constitution and Bylaws of the Young Folks' Circle|
National Slovak Society of the U.S.A. Zápisnica |Pittsburgh, PA|1909, 1911, 1934||slo|slo,eng|P||N|||Minutes|
National Slovak Society of the U.S.A. Zápisnica Pol-Rocnej Schôdze Hlavného Odboru |Pittsburgh, PA|1936, 1955, 1959, 1963, 1969||slo|eng,slo,|P||N|||Minutes of the Semi-Annual Meeting of the Supreme Branch|
National Slovak Society of the U.S.A. Zápisnice Riadnej Konvencie |Pittsburgh, PA|1901, 1903, 1906, 1913, 1916, 1919, 1923, 1926, 1930, 1937, 1941, 1946, 1950, 1954, 1958, 1970||slo|eng,slo,|P||N|||Minutes of the Regular Convention|
National Slovak Society of the U.S.A. Zápisnice Rocnej Schôdze Hlavného Odboru |Pittsburgh, PA|1896, 1898-1900, 1904, 1905, 1907-1908, 1910, 1912, 1914-1915, 1917-1918, 1920-1922, 1924-1925, 1927-1929, 1931-1932, 1935-1937, 1939-1946, 1948-1951, 1953-1955, 1957-1958, 1962-1963, 1970-1971||slo|slo,eng|P||N|||Minutes of the Annual Meeting of the Supreme Branch|
National Slovak Society of the U.S.A. Zprávy Úradníkov |Pittsburgh, PA|1946, 1954, 1958, 1962, 1966||slo|eng,slo,|P||N|||Officers' Report|
Nové Slovensko |Pittsburgh, PA|1921-1922||slo|slo,eng|P||N|||New Slovakland|
Obeznik Slovenskeho Priekopnika |Montreal, Quebec, Canada|||slo|slo,eng|P||N|||Circular of the Slovak Pioneer|
Obrana; Národný Kalendár |Scranton, PA|1922||slo|eng|P||N|||Defense; National Calendar|
Pennsylvania Slovak Catholic Union Zápisnica Konvencie |Wilkes-Barre, PA|1925, 1927, 1929, 1932, 1935, 1938, 1941, 1946, 1950, 1954, 1958, 1962, 1966||slo|eng,slo,|P||N|||Convention Minutes|
Pennsylvania Slovak Catholic Union Zprávy Hlavných Úradnikov |Wilkes-Barre, PA|1946, 1950, 1954, 1958, 1962, 1966, 1970||slo|eng,slo,|P||N|||Report of the Supreme Officers|
Pravda; Nábozenský Evanj-Luteránskeho Smeru Mesacnik |Monthly: 1921|1921||slo|eng|P||N|||The Truth; The Religious Evangelical-Lutheran Monthly Guide|
Prehl'ad |Middletown, PA|1917-1918||slo|eng|P||N|||General View|
Rím; Slovenský Kultúry Casopis |Rome, Italy|1949-1953||slo|slo,eng|P||N|||Rome; Slovak Cultural Magazine|
Robotnícky Kalendár |Chicago, IL|1921||slo|eng|P||N|||Workers Calendar|
Rozhl'ady |New York, NY|1956-1959||slo|slo,eng|P||N|||Perspective; Independent Political Review; Slovak Study Center|
Rozvoj |Montreal, Quebec, Canada/Lauvain, Belgium|1949-1950, 1952||slo|eng|P||N|||Development|
St.Benedict Post No.381|Catholic War Veterans of the USA Newsletter, Cleveland, OH (1948 - 1993 (microfilm)|||slo||M||N||||
St. Procopius College Academy Announcements|Lisle, IL|1937-1941||slo|eng,|P||N||||
Sborník Slovenského Katolíckeho Sokola |Passaic, NJ|1913, 1916, 1920, 1922, 1924-1934, 1936, 1940-1946, 1949-1950, 1957, 1960||slo|eng,slo,|P||N|||Slovak Catholic Sokol Almanac|
Severov; Slovenský Kalendár a Domáci Lekár |Cedar Rapids, IA|1926||slo|slo,eng|P||N|||North; Slovak Calendar and Domestic Doctor|
The Shepherd|Whiting, IN|1934||slo|eng,|P||N||||
Sion |Pittsburgh, PA|1971-1972||slo|eng,|P||N|||Zion|
Sion Evanjelický Kalendár |Cleveland, OH|1911-1924, 1951||slo|eng|P||N|||Zion Evangelical Calendar|
Slobodné Slovensko |Ludwigsburg, West Germany|1947-1950||slo|ger,slo,eng|P||N|||Free Slovakia|
Slováci v Zahranici |Martin, Czechoslovakia|1971, 1974, 1980-1983||slo|eng,cze,slo,|P||N|||Slovaks in Foreign Countries|
Slovák; Casopis Slovákov V Cudzine |London, England|1952||slo|eng,slo,|P||N|||Slovak; Magazine for Slovaks in Foreign Lands|
Slovák a Svet; Vol'né Novinárske Listy |Chicago/Skokie, IL|1971-1972||slo|slo,eng|P||N|||The Slovak and the World; Free Journalistic Letters|
Slovak Catholic Sokol Supreme Assembly Zápisnica Rocnej Schôdze |Cleveland, OH|1931-1934, 1937, 1945-1947, 1950-1951, 1956, 1959, 1967, 1973||slo|eng,slo,|P||N|||Minutes of the Annual Meeting|
Slovak Digest|New York, NY|1946||slo|eng,slo,|P||N||||
Slovak Evangelical Lutheran Synod of the U.S.A. Zápisnica |Pittsburgh PA (?)|1933, 1935||slo|slo,eng|P||N|||Minutes|
Slovak Heritage|Detroit, MI|1977-1979||slo|eng,slo,|P||N||||
